species_lims_code,lims_code,description
CAT,MIXED_BREED,Mixed Cat breeds
CAT,MUNCHKIN,Munchkin
CAT,NEBLUNG,Nebelung
CAT,NORWEGION_FOREST_CAT,Norwegian Forest Cat
CAT,OCICAT,Ocicat
CAT,OJOS_AZULES,Ojos Azules
CAT,ORIENTAL,Oriental
CAT,ORIENTAL-BLACK,Oriental Black
CAT,ORIENTAL-LILAC,Oriental Lilac
CAT,ORIENTAL_LONGHAIR,Oriental Longhair
CAT,ORIENTAL_SHORTHAIR,Oriental Shorthair
CAT,ORIENTAL-TABBY,Oriental Tabby
CAT,PERSIAN_CAT,Persian Cat
CAT,PERSIAN-MIXED,Persian Mixed Cat
CAT,PETERBALD,Peterbald
CAT,PIXIEBOB,Pixiebob
CAT,RAGDOLL,Ragdoll
CAT,RUSSIAN-BLUE,Russian Blue
CAT,SCOTTISH_FOLD,Scottish Fold Cat
CAT,SELKIRK_REX,Selkirk Rex
CAT,SERENGETI,Serengeti
CAT,SIAMESE_CAT,Siamese Cat
CAT,SIBERIAN,Siberian
CAT,SINGAPURA,Singapura
CAT,SNOWSHOE,Snowshoe
CAT,SOKOKE,Sokoke
CAT,SOMALI,Somali
CAT,SPHYNX,Sphynx
CAT,THAI,Thai
CAT,TIFFANIE,Tiffanie
CAT,TONKINESE,Tonkinese
CAT,TOYGER,Toyger
CAT,TURKISH_ANGORA,Turkish Angora
CAT,TURKISH_VAN,Turkish Van
CAT,TURKISH_VANKEDISI,Turkish Vankedisi
CAT,ZZB_CAT_UNLIST,Unlisted Cat
CAT,ZZC_CAT_UNSPECIFIED,Unspec.Cat
CATTLE,ABERDEEN_ANGUS,Aberdeen Angus
CATTLE,ABERDEEN_ANGUS_X,Aberdeen Angus Cross
CATTLE,ANGELN_CATTLE,Angeln Cattle
CATTLE,ANKOLE,Ankole
CATTLE,AYRSHIRE,Ayrshire
CATTLE,AYRSHIRE_CROSS,Ayrshire Cross
CATTLE,BARZONA,Barzona
CATTLE,BARZONA_X,Barzona Cross
CATTLE,BEEFALO,Beefalo
CATTLE,BEEFMASTER,Beefmaster
CATTLE,BELGIAN_BLUE,Belgian Blue
CATTLE,BELGIAN_BLUE_AND_WHITE,Belgian Blue And White
CATTLE,BELGIAN_BLUE_WHITE_X,Belgian Blue And White Cross
CATTLE,BELGIAN_BLUE_X,Belgian Blue Cross
CATTLE,BELTED_GALLOWAY,Belted Galloway
CATTLE,BLACK_AND_WHITE,Black and White
CATTLE,BLONDE_X,Blond Cross
CATTLE,BLOND_WALDVIERTEL,Blond Waldviertel
CATTLE,BLONDE_DAQUITAINE,Blonde D'Aquitaine
CATTLE,BLONDE-DAQUITANE-X,Blonde D'Aquitaine X
CATTLE,BORAN,Boran
CATTLE,BRAHMAN,Brahman
CATTLE,BRANGUS,Brangus
CATTLE,BRITISH_BLUE,British Blue
CATTLE,BRITISH_FRIESIAN,British Friesian
CATTLE,BRITISH_FRIESIAN_X,British Friesian Cross
CATTLE,BRITISH_WHITE,British White
CATTLE,BROWN_SWISS,Brown Swiss
CATTLE,CARINTHIAN_BLOND,Carinthian Blond
CATTLE,CHARBRAY,Charbray
CATTLE,CHAROLAIS,Charolais
CATTLE,CHAROLAIS_X,Charolais Cross
CATTLE,CHIANINA,Chianina
CATTLE,DEVON,Devon
CATTLE,DEXTER,Dexter
CATTLE,DOMESTIC,Domestic
CATTLE,DUN_GALLOWAY,Dun Galloway
CATTLE,DWARF_ZEBU,Dwarf Zebu
CATTLE,ENNSTAL_MOUNTN_SPOTTED,Ennstal Mountain Spotted
CATTLE,ERLINGER,Erlnger
CATTLE,FJAELL,Fjaell
CATTLE,FR,Friesian
CATTLE,FRIESIAN_X,Friesian Cross
CATTLE,GALLOWAY,Galloway
CATTLE,GALLOWAY_X,Galloway Cross
CATTLE,GELBVICH,Gelbvich
CATTLE,GERMAN_ANGUS,German Angus
CATTLE,GERMAN_YELL_FRANCONIAN,German Yellow Franconian
CATTLE,GLAN,Glan
CATTLE,GLOUCESTER,Gloucester
CATTLE,GRONINGE_BLAARKOP,Groninge Blaarkop
CATTLE,GUERNSEY,Guernsey
CATTLE,HARZ_RED,Harz Red
CATTLE,HEREFORD,Hereford
CATTLE,HEREFORD_X,Hereford Cross
CATTLE,HIGHLAND,Highland
CATTLE,HINTERWELDER,Hinterwelder
CATTLE,HOLSTEIN,Holstein
CATTLE,HOLSTEIN_X,Holstein Cross
CATTLE,HOLSTEIN_FRIESIAN,Holstein Friesian
CATTLE,HUNGARIAN_STEPPE,Hungarian Steppe
CATTLE,JERSEY,Jersey
CATTLE,JERSEY_X,Jersey Cross
CATTLE,JOCHBERG_HUMMELN,Jochberg Hummeln
CATTLE,LAKENFELDER,Lakenfelder
CATTLE,LIMOUSIN,Limousin
CATTLE,LIMOUSIN_X,Limousin Cross
CATTLE,LIMPURG,Limpurg
CATTLE,LINCOLN_RED,Lincoln Red
CATTLE,LONGHORN,Longhorn
CATTLE,LUING,Luing
CATTLE,MAINE_ANJOU,Maine Anjou
CATTLE,MARCHIGIANA,Marchigiana
CATTLE,MARIE_ANJOU,Marie Anjou
CATTLE,MEUSE_RHINE_ISSEL,Meuse Rhine Issel
CATTLE,ZZA_CATTLE_MIXED,Mixed Cattle
CATTLE,MONTAFON_VORALBERG_BRWN,MontafonVorarlberg Brown
CATTLE,MONTBELIARD_X,Montbeiliard Cross
CATTLE,MONTBELIARD,Montbeliard
CATTLE,MURBODEN,Murboden
CATTLE,MURNAU_WERDENFELS,Murnau Werdenfels
CATTLE,MURRAY_GREY,Murray Grey
CATTLE,NEW_AUROCHS,New Aurochs
CATTLE,NORMANDE,Normande
CATTLE,NORMANDY,Normandy
CATTLE,PIEMONTESE,Piemontese
CATTLE,PINZGAU,Pinzgau
CATTLE,POLISH_RED,Polish Red
CATTLE,POTLOUND,Potlound
CATTLE,PUSRERTAL_SPOTTED,Pusrertal Spotted
CATTLE,RED_AND_WHITE_HOLSTEIN,Red And White Holstein
CATTLE,RED_FRIESIAN,Red Friesian
CATTLE,RED_POLL,Red Poll
CATTLE,ROMAGNOLA,Romagnola
CATTLE,SALERS,Salers
CATTLE,SALERS_X,Salers Cross
CATTLE,SANTA_GERTRUDES,Santa Gertrude's
CATTLE,SCOTCH_HIGHLAND,Scotch Highland
CATTLE,SEMMENTAL,Semmental
CATTLE,SHORTHORN,Shorthorn
CATTLE,SIMMENTAL,Simmental
CATTLE,SIMMENTAL_X,Simmental Cross
CATTLE,SOUTH_DEVON,South Devon
CATTLE,SOUTH_DEVON_X,South Devon Cross
CATTLE,SPOTTED_SIMMENTAL,Spotted (Fieckvieh) Simmental
CATTLE,STABILISER,Stabiliser
CATTLE,STABILISER_X,Stabiliser X
CATTLE,SUSSEX,Sussex
CATTLE,SWEDISH_RED,Swedish Red
CATTLE,SWEDISH_RED_X,Swedish Red Cross
CATTLE,TARANTAISE,Tarantaise
CATTLE,TEXAS_LONGHORN,Texas Leghorn
CATTLE,TUX,Tux
CATTLE,TYROLEAN_GREY,Tyrolean Grey
CATTLE,ZZB_CATTLE_UNLIST,Unlisted Cattle
CATTLE,ZZC_CATTLE_UNSPECIFIED,Unspec.Cattle
CATTLE,VOGELSBERG,Vogelsberg
CATTLE,VORDERWELDER,Vorderwelder
CATTLE,VOSGES,Vosges
CATTLE,WAGYU,Wagyu Cattle
CATTLE,WAGYU_X,Wagyu X Cattle
CATTLE,WELSH_BLACK,Welsh Black
CATTLE,WHITE_PARK_CATTLE,White Park Cattle
CATTLE,WHITEBRED_SHORTHORN,Whitebred Shorthorn
CATTLE,WITTGENSTEIN,Wittgenstein
CATTLE,ZEBU,Zebu
CHAT,ZZA_CHAT_MIXED,Mixed Chat
CHAT,STONECHAT,Stonechat
CHAT,ZZB_CHAT_UNLIST,Unlisted Chat
CHAT,ZZC_CHAT_UNSPECIFIED,Unspec.Chat
CHAT,WHINCHAT,Whinchat
CHICKEN,BANTAM_CHICKEN,Bantam Chicken
CHICKEN,BLACK_COCHIN_CHICKEN,Black Cochin Chicken
CHICKEN,BROWN_LEGHORN_CHICKEN,Brown Leghorn Chicken
CHICKEN,BUFF_ROCK_CHICKEN,Buff Rock Chicken
CHICKEN,CHICKEN,Chicken
CHICKEN,CHINESE_CHICKENS,Chinese Chickens
CHICKEN,COTSWOLD_LEGBAR,Cotswold Legbar Chicken
CHICKEN,DOMESTIC_CHICKEN,Domestic Chicken
CHICKEN,FIGHTING_COCK,Fighting Cock
CHICKEN,INDIAN_GAME_CHICKEN,Indian Game Chicken
CHICKEN,MARAN_CHICKEN,Maran Chicken
CHICKEN,ZZA_CHICKEN_MIXED,Mixed Chicken
CHICKEN,ORPINGTON_CHICKEN,Orpington Chicken
CHICKEN,PEKING_BANTUM_CHICKEN,Peking Bantum Chicken
CHICKEN,RHODE_ISLAND_RED_CHICKEN,Rhode Island Red Chicken
CHICKEN,SILKIE_CHICKEN,Silkie Chicken
CHICKEN,SUSSEX_HEN_CHICKEN,Sussex Hen Chicken
CHICKEN,ZZB_CHICKEN_UNLIST,Unlisted Chicken
CHICKEN,ZZC_CHICKEN_UNSPECIFIED,Unspec.Chicken
COCKATIEL,COCKATIEL,Cockatiel
COCKATIEL,LOVEBIRD_COCKATIEL,Lovebird Cockatiel
COCKATIEL,ZZA_COCKATIEL_MIXED,Mixed Cockatiel
COCKATIEL,ZZB_COCKATIEL_UNLIST,Unlisted Cockatiel
COCKATIEL,ZZC_COCKATIEL_UNSPECIFIED,Unspec.Cockatiel
COCKATOO,BARE_EYED_COCKATOO,Bare Eyed Cockatoo
COCKATOO,BLUE_EYED_COCKATOO,Blue Eyed Cockatoo
COCKATOO,CITRON_CRESTED_COCKATOO,Citron Crested Cockatoo
COCKATOO,COCKATOO,Cockatoo
COCKATOO,DUCORPS_COCKATOO,Ducorps Cockatoo
COCKATOO,GALAH_COCKATOO,Galah Cockatoo
COCKATOO,GOFFINS_COCKATOO,Goffins Cockatoo
COCKATOO,GREAT_WHITE_COCKATOO,Great White Cockatoo
COCKATOO,GREATER_SULPHUR_CREST_COCKATOO,Greater Sulphur Crested Cockatoo
COCKATOO,LEADBEATERS_COCKATOO,Leadbeaters Cockatoo
COCKATOO,LESSER_SULPHUR_CREST_COCKATOO,Lesser Sulphur Crested Cockatoo
COCKATOO,MAJOR_MITCHELL_COCKATOO,Major Mitchell Cockatoo
COCKATOO,ZZA_COCKATOO_MIXED,Mixed Cockatoo
COCKATOO,MOLUCCAN_COCKATOO,Moluccan Cockatoo
COCKATOO,PALM_COCKATOO,Palm Cockatoo
COCKATOO,RED_VENTED_COCKATOO,Red Vented Cockatoo
COCKATOO,ROSEATE_COCKATOO,Roseate Cockatoo
COCKATOO,SULPHUR_CRESTED_COCKATOO,Sulphur Crested Cockatoo
COCKATOO,TRITON_COCKATOO,Triton Cockatoo
COCKATOO,UMBRELLA_COCKATOO,Umbrella Cockatoo
COCKATOO,ZZB_COCKATOO_UNLIST,Unlisted Cockatoo
COCKATOO,ZZC_COCKATOO_UNSPECIFIED,Unspec.Cockatoo
COCKATOO,WHITE_TAIL_BLACK_COCKATOO,White Tailed Black Cockatoo
CONURE,BLACK_CAPPED_CONURE,Black Capped Conure
CONURE,BLUE_CROWNED_CONURE,Blue Crowned Conure
CONURE,CACTUS_CONURE,Cactus Conure
CONURE,DUSKY_HEAD_CONURE,Dusky Head Conure
CONURE,GOLD_CROWNED_CONURE,Gold Crowned Conure
CONURE,GOLDEN_CRESTED_CONURE,Golden Crested Conure
CONURE,GREEN_CHEEKED_CONURE,Green Cheeked Conure Parrot
CONURE,HALF_MOON_CONURE,Half Moon Conure
CONURE,JANDAYA_CONURE,Jandaya Conure
CONURE,ORANGE_FRONTED_CONURE,Orange Fronted Conure
CONURE,PAINTED_CONURE,Painted Conure
CONURE,PATAGONIAN_CONURE,Patagonian Conure
CONURE,PETZS_CONURE,Petz's Conure
CONURE,QUEEN_OF_BAVARIAS_CONURE,Queen of Bavaria Conure
CONURE,RED_MASKED_CONURE,Red Masked Conure
CONURE,SUN_CONURE,Sun Conure
CONURE,WHITE_EYED_CONURE,White Eyed Conure
COOT,COOT,Coot
CORMORANT,CORMORANT,Cormorant
CORMORANT,DOUBLE_CRESTED_CORMORANT,Double Crested Cormorant
CRAKE,CORNCRAKE,Corncrake
CRAKE,ZZA_CRAKE_MIXED,Mixed Crake
CRAKE,ZZB_CRAKE_UNLIST,Unlisted Crake
CRAKE,ZZC_CRAKE_UNSPECIFIED,Unspec.Crake
CRANE,COMMON_CRANE,Common Crane (Eurasian)
CRANE,CROWNED_CRANE,Crowned Crane
CRANE,EUROPEAN_CRANE,European Crane
CRANE,ZZA_CRANE_MIXED,Mixed Crane
CRANE,ZZB_CRANE_UNLIST,Unlisted Crane
CRANE,ZZC_CRANE_UNSPECIFIED,Unspec.Crane
CRANE,WHITE_NAPED_CRANE,White Naped Crane
CRICKET,FIELD_CRICKET,Field Cricket
CROSSBILL,COMMON_CROSSBILL,Common Crossbill
CROW,AZURE_WINGED_MAGPIE,Azure-winged Magpie
CROW,CARRION_CROW,Carrion Crow
CROW,CHOUGH,Chough
CROW,COMMON_RAVEN,Common Raven
CROW,HOODED_CROW,Hooded Crow
CROW,JACKDAW,Jackdaw
CROW,JAY,Jay
CROW,MAGPIE,Magpie
CROW,ZZA_CROW_MIXED,Mixed Crow
CROW,OTHER_CROW,Other Crow
CROW,RAVEN,Raven
CROW,ROOK,Rook
CROW,ZZB_CROW_UNLIST,Unlisted Crow
CROW,ZZC_CROW_UNSPECIFIED,Unspec.Crow
CUCKOO,CUCKOO,Cuckoo
CURLEW,CURLEW,Curlew
CURLEW,JACK_SNIPE,Jack Snipe
CURLEW,ZZA_CURLEW_MIXED,Mixed Curlew
CURLEW,ZZB_CURLEW_UNLIST,Unlisted Curlew
CURLEW,ZZC_CURLEW_UNSPECIFIED,Unspec.Curlew
CURLEW,WHIMBREL,Whimbrel
DEER,CHEVROTAIN,Chevrotain (Mouse Deer)
DEER,CHINESE_WATER_DEER,Chinese Water Deer
DEER,FALLOW_DEER,Fallow Deer
DEER,ZZA_DEER_MIXED,Mixed Deer
DEER,MUNTJAC_DEER,Muntjac Deer
DEER,RED_DEER,Red Deer
DEER,REINDEER,Reindeer
DEER,ROE_DEER,Roe Deer
DEER,SIKA_DEER,Sika Deer
DEER,ZZB_DEER_UNLIST,Unlisted Deer
DEER,ZZC_DEER_UNSPECIFIED,Unspec.Deer
DIPPER,DIPPER,Dipper
DIVER,BLACK-THROATED_DIVER,Black-Throated Diver
DIVER,GREAT_NORTHERN_DIVER,Great Northern Diver
DIVER,ZZA_DIVER_MIXED,Mixed Diver
DIVER,RED-THROATED_DIVER,Red-Throated Diver
DIVER,ZZB_DIVER_UNLIST,Unlisted Diver
DIVER,ZZC_DIVER_UNSPECIFIED,Unspec.Diver
DOG,AFFENPINSCHER,Affenpinscher
DOG,AFGHAN_HOUND,Afghan Hound
DOG,AFRICAN_HUNTING_DOG,African Hunting Dog
DOG,AIREDALE,Airedale
DOG,ALASKAN_MALAMUTE,Alaskan Malamute
DOG,AMERICAN_AKITA,American Akita Dog
DOG,AMERICAN_BULLDOG,American Bulldog
DOG,AMERICAN_COCKER_SPANIEL,American Cocker Spaniel
DOG,AMERICAN_FOXHOUND,American Foxhound
DOG,AMERICAN_KING_SHEPHERD,American King Shepherd Dog
DOG,AMERICAN_STAFFORDSHIRE_TERRIER,American Staffordshire Terrier
DOG,AMERICAN_WATER_SPANIEL,American Water Spaniel
DOG,ANATOLIAN_KARABASH,Anatolian Shepherd Dog
DOG,AUSTRALIAN_CATTLE_DOG,Australian Cattle Dog
DOG,AUSTRALIAN_KELPIE,Australian Kelpie
DOG,AUSTRALIAN_SHEPHERD_MINIATURE,Australian Shepherd Minature
DOG,AUSTRALIAN_SILKY_TERRIER,Australian Silky Terrier
DOG,AUSTRALIAN_TERRIER,Australian Terrier
DOG,AZAWAKH,Azawakh
DOG,BASENJI,Basenji
DOG,BASSET_ARTESIEN_NORMAND,Basset Artesien Normand
DOG,BASSET_BLUE_DE_GASCOGNE,Basset Bleu de Gascogne
DOG,BASSET_FAUVE_DE_BRETAGNE,Basset Fauve de Bretagne
DOG,BASSET_GRIFFON_VENDEEN,Basset Griffon Vendeen
DOG,BASSET_GRIFFON_GRAND,Basset Griffon Vendeen (Grand)
DOG,BASSET_GRIFFON_PETITE,Basset Griffon Vendeen (Petite)
DOG,BASSET_HOUND,Basset Hound
DOG,BAVARIAN_MOUNTAIN_HOUND,Bavarian Mountain Hound
DOG,BEAGLE,Beagle
DOG,BEAGLE_X,Beagle Cross
DOG,BEARDED_COLLIE,Bearded Collie
DOG,BEAUCERON,Beauceron
DOG,BEDLINGTON_TERRIER,Bedlington Terrier
DOG,BELGIAN_SHEPHERD_DOG,Belgian Shepherd Dog
DOG,BELGIAN_SHEP_GROENENDAEL,Belgian Shepherd Dog (Groenendael)
DOG,BELGIAN_SHEP_LAEKENOIS,Belgian Shepherd Dog (Laekenois)
DOG,BELGIAN_SHEP_MALINOIS,Belgian Shepherd Dog (Malinois)
DOG,BELGIAN_SHEP_TERVUEREN,Belgian Shepherd Dog (Tervueren)
DOG,BERGAMASCO,Bergamasco
DOG,BERNESE_MOUNTAIN_DOG,Bernese Mountain Dog
DOG,BICHON_FRISE,Bichon Frise
DOG,BLACK_AND_TAN_COONHOUND,Black and Tan Coonhound
DOG,BLOODHOUND,Bloodhound
DOG,BOLOGNESE,Bolognese
DOG,BORDER_COLLIE,Border Collie
DOG,BORDER_TERRIER,Border Terrier
DOG,BORZOI,Borzoi
DOG,BOSTON_TERRIER,Boston Terrier
DOG,BOUVIER_DES_FLANDRES,Bouvier des Flandres
DOG,BOXER,Boxer
DOG,BRACCO_ITALIANO,Bracco Italiano
DOG,BRETON-SPANIEL,Breton Spaniel
DOG,BRIARD,Briard
DOG,BRITTANY_SPANIEL,Brittany Spaniel (Brittany)
DOG,BULGARIAN_SHEPHERD,Bulgarian Shepherd Dog (Karakachen)
DOG,BULL_TERRIER,Bull Terrier
DOG,BULLDOG,Bulldog
DOG,BULLMASTIFF,Bullmastiff
DOG,CAIRN_TERRIER,Cairn Terrier
DOG,CANAAN_DOG,Canaan Dog
DOG,CANADIAN_ESKIMO,Canadian Eskimo Dog
DOG,CANADIAN_SHEPHERD,Canadian Shepherd
DOG,CANE_CORSO,Cane Corso
DOG,CARDIGAN_WELSH_CORGI,Cardigan Welsh Corgi
DOG,CATALAN_SHEEPDOG,Catalan Sheepdog
DOG,CAUCASIAN_SHEPHERD_DOG,"Caucasian Shepherd Dog (Kovkazskaia Ovtcharka, Cau"
DOG,CAVALIER_KING_CHARLES_SPANIEL,Cavalier King Charles Spaniel
DOG,CESKY_TERRIER,Cesky Terrier
DOG,CHESAPEAKE_BAY_RETRIEVER,Chesapeake Bay Retriever
DOG,CHIHUAHUA,Chihuahua
DOG,CHIHUAHUA_LONG,Chihuahua (Long Coat)
DOG,CHIHUAHUA_SHORT,Chihuahua (Smooth Coat)
DOG,CHIHUAHUA_CROSS,Chihuahua Cross
DOG,CHIN,Chin
DOG,CHINESE_CRESTED,Chinese Crested
DOG,CHOW_CHOW,Chow Chow
DOG,CIRNECO_DELL_ETNA,Cirneco dell'Etna
DOG,CLUMBER_SPANIEL,Clumber Spaniel
DOG,COCKER_SPANIEL,Cocker Spaniel
DOG,COLLIE,Collie
DOG,COLLIE_CROSS_BREED,Collie Cross Breed
DOG,CORGI,Corgi
DOG,CORGI_X,Corgi Cross
DOG,COTON-DE-TULEAR,Coton de Tulear
DOG,CROSS-BREED,Cross Breed
DOG,CURLY_COATED_RETRIEVER,Curly-coated Retriever
DOG,CYPRIOT_HUNTING_DOG,Cypriot Hunting Dog
DOG,CYPRUS_POODLE,Cyprus Poodle
DOG,DACHSBRACKE,Dachsbracke
DOG,DACHSHUND,Dachshund
DOG,DACHSHUND_LONG,Dachshund (Long Haired)
DOG,DACHSHUND_MINI_LONG,Dachshund (Minature Long Haired)
DOG,DACHSHUND_MINI_SHORT,Dachshund (Minature Short Haired)
DOG,DACHSHUND_MINI_WIRE,Dachshund (Miniature Wire Haired)
DOG,DACHSHUND_SMOOTH,Dachshund (Smooth Haired)
DOG,DACHSHUND_WIRE,Dachshund (Wire Haired)
DOG,DALMATIAN,Dalmatian
DOG,DANDIE_DINMONT_TERRIER,Dandie Dinmont Terrier
DOG,DANDY_DINMONT,Dandy Dinmont
DOG,DEERHOUND,Deerhound
DOG,DESERT_DOG,Desert Dog
DOG,DOBERMANN,Dobermann
DOG,DOGO_ARGENTINO,Dogo Argentino
DOG,DOGUE_DE_BORDEAUX,Dogue de Bordeaux
DOG,DRENTSE_PARTRIDGE_DOG,Drentse Partridge Dog
